"Day","Gross sales","Net sales","Discounts","Returns","Taxes","Shipping charges","Total sales","Day (previous_year)","Gross sales (previous_year)","Net sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Taxes (previous_year)","Shipping charges (previous_year)","Total sales (previous_year)","Gross sales (previous_year) ","Net sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Taxes (previous_year) ","Shipping charges (previous_year) ","Total sales (previous_year) "
"2025-11-28",48447.99,43808.32,-1663.9,-2975.77,4711.24,765.35,49295.13,"2024-11-28",43401.67,41768.5,-541.18,-1091.99,4242.11,-5,46005.61,11.627,4.883,-207.457,-172.508,11.058,15407,7.15
"2025-11-29",32383.74,30534.84,-328,-1520.9,3456.94,611.03,34602.81,"2024-11-29",42377.87,38286.92,-1299.06,-2791.89,3877.03,266.04,42429.99,-23.583,-20.247,74.75,45.524,-10.835,129.675,-18.447
"2025-11-30",18994.88,18559.88,-123,-312,2005.05,180,20744.93,"2024-11-30",53148.86,50617.08,-1126.28,-1405.5,4800.82,267.04,55684.94,-64.26,-63.332,89.079,77.801,-58.235,-32.594,-62.745
"2025-12-01",24300.58,23470.58,-452,-378,2687.48,309.67,26467.73,"2024-12-01",35690.6,34298.83,-946.27,-445.5,3323.3,176.02,37798.15,-31.913,-31.57,52.233,15.151,-19.132,75.928,-29.976
"2025-12-02",30476.44,23760.41,-337.75,-6378.28,2832.31,150,26807.92,"2024-12-02",51644.44,46664.66,-1257.41,-3722.37,4682.43,677.45,52024.54,-40.987,-49.082,73.139,-71.349,-39.511,-77.858,-48.47
"2025-12-03",54130.38,49329.05,-388.6,-4412.73,5229.73,870.7,55564.91,"2024-12-03",23940.06,21169.27,-69.65,-2701.14,2076.98,261.1,23507.35,126.107,133.021,-457.932,-63.365,151.794,233.473,136.372
"2025-12-04",33737.24,28346.05,-210.5,-5180.69,3149.02,329.81,31930.22,"2024-12-04",32384.35,29496.8,-268.8,-2618.75,3141.8,255.53,32894.13,4.177,-3.901,21.688,-97.83,0.229,29.068,-2.93
"2025-12-05",35541.27,30943.32,-1271.83,-3326.12,3288.98,2576.94,36919.52,"2024-12-05",35245.5,32133,-492.1,-2620.4,3145.98,241.09,35520.07,0.839,-3.702,-158.449,-26.931,4.545,968.87,3.939
"2025-12-06",29608.35,26623.04,-813.71,-2171.6,2935.86,1292.8,30851.7,"2024-12-06",34167.37,31114.8,-804.97,-2247.6,3227.7,311.07,34653.57,-13.343,-14.436,-1.085,3.381,-9.041,315.597,-10.971
"2025-12-07",17440.57,16618.7,-217.37,-604.5,1754.02,198.33,18571.05,"2024-12-07",32757.2,30831.1,-321.7,-1604.4,3328.07,171.23,34330.4,-46.758,-46.097,32.43,62.322,-47.296,15.826,-45.904
"2025-12-08",34115.01,28489.6,-991.4,-4634.01,2941.67,1518.78,33049.08,"2024-12-08",13390.22,12727.67,-113.6,-548.95,1302.64,96.24,14126.55,154.775,123.839,-772.711,-744.158,125.823,1478.117,133.95
"2025-12-09",26292.68,19112.77,-678.87,-6501.04,2254.43,409.44,21901.44,"2024-12-09",18956.47,17610.93,-289.74,-1055.8,1958.55,192.45,19761.93,38.7,8.527,-134.303,-515.745,15.107,112.751,10.826
"2025-12-10",42243.31,34914.22,-1045.81,-6283.28,4064.76,1176.04,40225.77,"2024-12-10",20437.7,16293.56,-457.6,-3686.54,1729.52,267.51,18290.59,106.693,114.282,-128.542,-70.438,135.022,339.624,119.926
"2025-12-11",23013.44,17824.77,-598,-4590.67,1964.26,294.11,20150.75,"2024-12-11",48038.95,46652.71,-570.99,-815.25,4093.72,175,50921.43,-52.094,-61.792,-4.73,-463.099,-52.017,68.062,-60.427
"2025-12-12",27608.37,22382.44,-369.29,-4856.64,2790.21,660.23,25917.53,"2024-12-12",38010.77,35884.95,-388.01,-1737.81,3677.84,96.27,39659.06,-27.366,-37.627,4.824,-179.468,-24.134,585.81,-34.649
"2025-12-13",22986.64,22028.25,-237.49,-720.9,2455.86,346.95,24831.06,"2024-12-13",36085.37,30143.99,-130.05,-5811.33,2972.46,201.33,33317.78,-36.299,-26.923,-82.614,87.594,-17.379,72.329,-25.472
"2025-12-14",23067.69,21722.79,-309.9,-1035,2565.68,286.56,24575.03,"2024-12-14",46154.41,42503.53,-723.38,-2927.5,3994.76,43.67,46541.96,-50.02,-48.891,57.159,64.645,-35.773,556.194,-47.198
"2025-12-15",22199.56,17948.37,-539.33,-3711.86,1760.74,613.46,20465.35,"2024-12-15",68724.3,67822.12,-207.18,-695,6031.4,125,73978.52,-67.697,-73.536,-160.319,-434.08,-70.807,390.768,-72.336
"2025-12-16",22413.28,19497.78,-204.01,-2711.49,2156.97,282.97,22027.33,"2024-12-16",30658.82,27589.51,-949.86,-2119.45,2568.24,177.7,30335.45,-24.469,-26.714,78.522,-27.933,-11.997,59.24,-24.651
