"Day","Online store visitors","Sessions","Bounce rate","Average session duration","Checkout conversion rate","Completed checkout rate","Conversion rate","Pageviews","Reached checkout rate","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Bounce rate (previous_period)","Average session duration (previous_period)","Checkout conversion rate (previous_period)","Completed checkout rate (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Reached checkout rate (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Bounce rate (previous_period) ","Average session duration (previous_period) ","Checkout conversion rate (previous_period) ","Completed checkout rate (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Reached checkout rate (previous_period) "
"2025-10-07",6005,7894,0.4281732961743096,227.53699011907779,0.6306306306306306,0.6923076923076923,0.00886749429946795,48109,0.014061312389156321,"2025-07-08",5291,6928,0.4512124711316397,212.20915127020785,0.7049180327868853,0.7368421052631579,0.018620092378752888,26481,0.026414549653579675,13.494613494613494,13.943418013856814,-5.106058992462666,7.222986736021037,-10.538445422166353,-6.04395604395604,-52.376743793245,81.67365280767342,-46.76679113001366
"2025-10-08",5606,7491,0.4106260846348952,240.75010012014417,0.6523809523809524,0.7093023255813954,0.018288613002269388,48853,0.02803364036844213,"2025-07-09",5705,7293,0.4664747017688194,210.12450294803236,0.6894409937888198,0.7214285714285714,0.015220074043603456,26523,0.02207596325243384,-1.7353198948290973,2.7149321266968327,-11.972485736558175,14.574976617403864,-5.375375375375369,-1.6808657609946975,20.161130293288867,84.19107944048562,26.987167209346858
"2025-10-09",4985,6450,0.37813953488372093,235.60961240310078,0.66875,0.6691729323308271,0.016589147286821704,45550,0.024806201550387597,"2025-07-10",5857,7473,0.4671484009099425,220.53847183192826,0.6647727272727273,0.6805555555555556,0.01565636290646327,28473,0.023551451893483205,-14.888168004097661,-13.689281413087114,-19.05365957645241,6.833792057223555,0.5982905982905885,-1.6725487187356154,5.957861260186823,59.97611772556457,5.327695560253703
"2025-10-10",4758,6217,0.40421425124658195,250.1111468553965,0.7637795275590551,0.7669902912621359,0.015602380569406465,43195,0.020427859096027023,"2025-07-11",5380,6987,0.43552311435523117,234.11564333762703,0.6341463414634146,0.6811594202898551,0.014884786031200801,28087,0.0234721625876628,-11.561338289962825,-11.0204665807929,-7.188794825505491,6.832308721336379,20.442156268927917,12.600702334228458,4.820993306195169,53.790009612988214,-12.96984664393853
"2025-10-11",4020,5159,0.3849583252568327,235.19034696646636,0.631578947368421,0.6494845360824743,0.013956193060670672,36139,0.022097305679395232,"2025-07-12",5203,6579,0.4453564371485028,233.31068551451588,0.743801652892562,0.7641509433962265,0.013679890560875513,25833,0.01839185286517708,-22.736882567749376,-21.583827329381364,-13.561746694037462,0.8056473915051507,-15.087719298245615,-15.005727376861401,2.019771273502614,39.89470831881702,20.147251293174566
"2025-10-12",3982,4935,0.38885511651469096,215.46565349544073,0.6923076923076923,0.75,0.00911854103343465,29525,0.013171225937183385,"2025-07-13",8453,9824,0.6072882736156352,143.85464169381106,0.6484375,0.6476190476190476,0.008448697068403909,29209,0.013029315960912053,-52.89246421388856,-49.76587947882736,-35.96861105195568,49.7801189856987,6.76552363299351,15.80882352941176,7.928370015014456,1.081858331336232,1.0891590678824727
"2025-10-13",3626,4469,0.3826359364511076,231.552025061535,0.6075949367088608,0.6984126984126984,0.01074065786529425,31510,0.01767733273663012,"2025-07-14",5171,6805,0.4186627479794269,232.56634827332843,0.6690140845070423,0.688,0.013960323291697281,27632,0.020867009551800146,-29.878166698897697,-34.32770022042616,-8.60521068621315,-0.43614358626008964,-9.180546302465022,1.5134736064968648,-23.062971817550135,14.034452808338159,-15.285739948754957
"2025-10-14",4661,6074,0.4176819229502799,228.22275271649653,0.6126126126126126,0.6989247311827957,0.011195258478761936,39042,0.018274613105037866,"2025-07-15",5761,7425,0.45037037037037037,211.85723905723907,0.6338028169014085,0.6972477064220184,0.012121212121212121,28067,0.019124579124579124,-19.09390730775907,-18.195286195286194,-7.258125660710878,7.724783789349706,-3.3433433433433564,0.2405206564799104,-7.639117550214028,39.10286101115189,-4.4443645740097475
"2025-10-15",5371,6838,0.3906112898508336,234.58306522374963,0.6349206349206349,0.6770833333333334,0.011699327288680901,46701,0.01842644047967242,"2025-07-16",5542,7267,0.40209164717214807,232.12274666299712,0.7282051282051282,0.7630057803468208,0.01954038805559378,29919,0.026833631484794274,-3.085528690003609,-5.903398926654741,-2.8551593652974767,1.059921354594549,-12.810194500335347,-11.26104797979797,-40.12745675574358,56.09144690664795,-31.33079847908745
"2025-10-16",5014,6422,0.4193397695421987,231.2072563064466,0.6737588652482269,0.680672268907563,0.014792899408284023,43328,0.02195577701650576,"2025-07-17",5467,7034,0.42550469149843617,208.6273812908729,0.7272727272727273,0.7692307692307693,0.017059994313335228,27163,0.02345749218083594,-8.286080117066033,-8.700597099800966,-1.4488493498220631,10.823064008119015,-7.358156028368801,-11.512605042016808,-13.28895463510848,59.5110996576225,-6.401857252059682
